Date,Open,High,Low,Close,Adj Close,Volume
8/1/2014,47.580002,49.240002,46.009998,49.099998,33.367352,76208600
9/1/2014,48.330002,48.77,45.970001,45.970001,31.661737,108986100
10/1/2014,46.02,46.220001,41.91,45.490002,31.331131,144140400
11/1/2014,45.490002,46.73,44.689999,46.450001,31.992329,56323900
12/1/2014,46.939999,47.18,41.290001,42.740002,29.838551,93430200
1/1/2015,42.700001,45.57,41.25,44,30.718208,84397000
2/1/2015,44.110001,47.970001,43.709999,47.419998,33.105846,78012700
3/1/2015,47.48,49.080002,45.32,46.150002,32.695492,71805500
4/1/2015,46.82,48.450001,45.959999,46.150002,32.695492,69279100
5/1/2015,46.110001,46.759998,43.73,44.369999,31.434425,78493400
6/1/2015,44.41,44.459999,41.52,41.650002,29.888369,92743200
7/1/2015,42.220001,43.709999,41.189999,43.439999,31.172876,92063900
8/1/2015,43.599998,45.490002,39.27,40.93,29.371687,78412000
