outbreak_year,outbreak_month,illnesses,hospitalizations,fatalities,Date,Close
2010,August,1095,76.0,0.0,8/1/2010,37.400002
2010,September,582,20.0,0.0,9/1/2010,39.52
2010,October,1074,41.0,1.0,10/1/2010,39.040001000000004
2010,November,977,62.0,1.0,11/1/2010,38.279999
2010,December,984,27.0,0.0,12/1/2010,39.220001
2011,January,883,79.0,0.0,1/1/2011,36.330002
2011,February,1903,64.0,1.0,2/1/2011,38.610001000000004
2011,March,971,78.0,4.0,3/1/2011,38.41
2011,April,1807,64.0,0.0,4/1/2011,43.66
2011,May,1096,92.0,0.0,5/1/2011,43.459998999999996
2011,June,1336,67.0,1.0,6/1/2011,42.900002
2011,July,1403,224.0,35.0,7/1/2011,44.419998
2011,August,457,45.0,1.0,8/1/2011,42.830002
2011,September,1114,75.0,1.0,9/1/2011,41.290001000000004
2011,October,844,87.0,1.0,10/1/2011,44.790001000000004
2011,November,874,47.0,0.0,11/1/2011,44.48
2011,December,1590,30.0,1.0,12/1/2011,45.630001
2012,January,2002,93.0,0.0,1/1/2012,44.540001000000004
2012,February,1112,37.0,0.0,2/1/2012,44.310001
2012,March,1234,42.0,5.0,3/1/2012,44.91
2012,April,1122,45.0,3.0,4/1/2012,46.23
2012,May,917,50.0,1.0,5/1/2012,44.110001000000004
2012,June,1634,114.0,1.0,6/1/2012,45.57
2012,July,1406,179.0,5.0,7/1/2012,46.0
2012,August,1067,45.0,0.0,8/1/2012,45.490002000000004
2012,September,704,59.0,0.0,9/1/2012,46.240002000000004
2012,October,1077,110.0,0.0,10/1/2012,44.900002
2012,November,1305,37.0,4.0,11/1/2012,43.009997999999996
2012,December,1415,48.0,1.0,12/1/2012,43.470001
2013,January,717,28.0,0.0,1/1/2013,45.610001000000004
2013,February,997,24.0,1.0,2/1/2013,44.029999
2013,March,2200,341.0,2.0,3/1/2013,46.91
2013,April,1401,101.0,1.0,4/1/2013,51.639998999999996
2013,May,1683,82.0,1.0,5/1/2013,51.77
2013,June,1512,99.0,2.0,6/1/2013,49.970001
2013,July,593,100.0,0.0,7/1/2013,50.959998999999996
2013,August,859,72.0,1.0,8/1/2013,50.889998999999996
2013,September,705,52.0,6.0,9/1/2013,50.169998
2013,October,906,67.0,0.0,10/1/2013,52.630001
2013,November,604,42.0,0.0,11/1/2013,52.919998
2013,December,1254,43.0,0.0,12/1/2013,53.389998999999996
2014,January,1082,19.0,0.0,1/1/2014,51.540001000000004
2014,February,532,23.0,1.0,2/1/2014,55.939999
2014,March,1674,28.0,0.0,3/1/2014,53.43
2014,April,1627,47.0,3.0,4/1/2014,55.369999
2014,May,1227,140.0,2.0,5/1/2014,53.939999
2014,June,1457,106.0,5.0,6/1/2014,53.48
2014,July,815,57.0,2.0,7/1/2014,48.369999
2014,August,1010,91.0,1.0,8/1/2014,49.099998
2014,September,671,75.0,0.0,9/1/2014,45.970001
2014,October,726,73.0,7.0,10/1/2014,45.490002000000004
2014,November,1140,30.0,1.0,11/1/2014,46.450001
2014,December,1334,33.0,1.0,12/1/2014,42.740002000000004
2015,January,856,36.0,1.0,1/1/2015,44.0
2015,February,939,15.0,0.0,2/1/2015,47.419998
2015,March,1479,50.0,0.0,3/1/2015,46.150002
2015,April,1312,105.0,2.0,4/1/2015,46.150002
2015,May,1479,47.0,0.0,5/1/2015,44.369999
2015,June,1585,169.0,4.0,6/1/2015,41.650002
2015,July,1844,269.0,6.0,7/1/2015,43.439999
2015,August,1001,37.0,0.0,8/1/2015,40.93
2015,September,884,32.0,0.0,9/1/2015,38.450001
2015,October,1440,114.0,0.0,10/1/2015,43.060001
2015,November,778,18.0,0.0,11/1/2015,40.509997999999996
2015,December,1421,31.0,1.0,12/1/2015,40.349998
